Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 13:45:30.747061,6.4,49.5,8446.332928,721,65
2024-05-29 13:45:35.972307,6.8,49.5,8445.796352,721,65
2024-05-29 13:45:41.183978,6.5,50.0,8534.736896,748,66
2024-05-29 13:45:46.405415,6.8,49.8,8509.39904,725,66
2024-05-29 13:45:51.639563,7.1,49.8,8497.954816,725,66
2024-05-29 13:45:56.840400,7.1,49.4,8425.570304,725,66
2024-05-29 13:46:02.067142,6.9,49.2,8400.867328,716,67
2024-05-29 13:46:07.288101,6.6,46.9,8011.378688,716,67
2024-05-29 13:46:12.519266,6.4,46.9,8007.581696,716,67
2024-05-29 13:46:17.753525,6.8,46.9,8005.26336,716,67
2024-05-29 13:46:22.970917,6.7,46.9,7999.537152,716,67
2024-05-29 13:46:28.215671,6.6,46.9,8001.118208,716,67
2024-05-29 13:46:33.439700,6.8,46.9,8000.167936,716,67
2024-05-29 13:46:38.642616,7.6,46.9,8004.202496,716,67
2024-05-29 13:46:43.879142,7.1,46.9,8002.002944,716,67
2024-05-29 13:46:49.102515,6.6,46.9,8007.10656,716,67
2024-05-29 13:46:54.333377,6.4,46.9,8001.482752,716,67
2024-05-29 13:46:59.549892,7.3,46.9,8004.7104,716,68
2024-05-29 13:47:04.769656,6.5,46.9,8001.59744,716,68
2024-05-29 13:47:10.005179,6.8,46.8,7986.659328,716,67
2024-05-29 13:47:15.239389,6.7,46.8,7984.799744,716,68
2024-05-29 13:47:20.450562,7.2,46.8,7989.506048,716,68
2024-05-29 13:47:25.660772,6.2,46.8,7985.897472,716,68
2024-05-29 13:47:30.875986,6.7,46.8,7990.206464,716,68
2024-05-29 13:47:36.113267,7.2,46.8,7988.658176,716,68
2024-05-29 13:47:41.318756,7.6,46.8,7988.944896,716,68
2024-05-29 13:47:46.551647,7.6,46.8,7993.26208,716,68
2024-05-29 13:47:51.785308,7.7,46.8,7990.816768,716,68
2024-05-29 13:47:57.004337,7.0,46.8,7994.626048,716,68
2024-05-29 13:48:02.207233,7.2,46.8,7994.261504,716,68
2024-05-29 13:48:07.427182,6.8,46.8,7997.493248,716,68
2024-05-29 13:48:12.662545,6.6,46.8,7996.317696,716,68
2024-05-29 13:48:17.895053,7.5,46.8,7998.230528,716,68
2024-05-29 13:48:23.131612,6.5,46.8,7993.040896,716,68
2024-05-29 13:48:28.361490,7.1,46.8,7997.579264,716,68
2024-05-29 13:48:33.582512,6.5,46.7,7981.568,716,68
2024-05-29 13:48:38.783995,7.1,46.8,7984.263168,716,68
2024-05-29 13:48:44.019290,6.8,46.7,7967.166464,716,68
2024-05-29 13:48:49.253603,7.1,46.7,7978.25024,716,69
2024-05-29 13:48:54.489163,7.7,46.7,7979.720704,716,69
2024-05-29 13:48:59.722285,7.4,46.8,7984.533504,716,69
2024-05-29 13:49:04.941768,7.1,46.7,7976.36608,716,69
2024-05-29 13:49:10.173795,6.9,46.7,7975.694336,716,69
2024-05-29 13:49:15.411541,6.6,46.7,7980.355584,716,69
2024-05-29 13:49:20.646202,7.1,46.7,7976.955904,716,69
2024-05-29 13:49:25.880023,7.1,46.7,7973.70368,716,69
2024-05-29 13:49:31.113753,6.5,46.7,7975.161856,716,69
2024-05-29 13:49:36.336019,7.1,46.7,7974.227968,716,69
2024-05-29 13:49:41.565582,7.2,46.7,7975.059456,716,69
2024-05-29 13:49:46.801032,7.7,46.7,7979.175936,716,69
2024-05-29 13:49:52.035279,7.4,46.7,7973.548032,716,69
2024-05-29 13:49:57.270642,6.9,46.7,7975.66976,716,69
2024-05-29 13:50:02.502828,7.8,46.7,7974.0928,716,69
2024-05-29 13:50:07.737751,6.2,47.0,8026.595328,716,69
2024-05-29 13:50:12.957743,8.2,47.1,8039.7312,716,69
2024-05-29 13:50:18.176225,10.5,47.4,8094.55616,716,70
2024-05-29 13:50:23.406538,8.6,47.7,8142.139392,716,70
2024-05-29 13:50:28.645196,10.9,48.1,8205.635584,716,69
2024-05-29 13:50:33.877821,11.1,48.7,8307.019776,716,70
2024-05-29 13:50:39.114221,9.0,48.9,8341.254144,716,70
2024-05-29 13:50:44.342369,12.6,48.7,8308.862976,716,70
2024-05-29 13:50:49.551304,14.2,46.1,7870.398464,716,70
2024-05-29 13:50:54.760946,10.5,46.1,7877.500928,716,70
2024-05-29 13:50:59.983867,17.1,45.7,7808.26624,716,70
2024-05-29 13:51:05.189134,14.2,45.7,7806.85312,716,70
2024-05-29 13:51:10.408243,12.7,45.7,7801.89696,716,70
2024-05-29 13:51:15.650290,11.7,45.8,7816.224768,716,71
2024-05-29 13:51:20.895710,11.9,45.7,7807.75424,716,70
